datetime,Temperature,Precipitation,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
2020-02-27 22,13.0,0.0,7.6,10.0,27.0,71.69,2.0
2020-02-27 23,12.0,0.0,5.4,10.0,27.2,71.52,2.0
2020-02-28 00,12.0,0.0,7.5,10.0,27.3,62.37,2.0
2020-02-28 03,11.0,0.0,11.1,10.0,27.3,62.11,2.0
2020-02-28 04,11.0,0.0,7.6,10.0,27.0,62.14,2.0
2020-02-28 05,11.0,0.0,9.4,10.0,27.3,62.14,2.0
2020-02-28 06,11.0,0.0,16.6,10.0,27.3,62.11,2.0
2020-02-28 07,11.0,0.0,13.0,10.0,27.0,66.51,2.0
2020-02-28 08,12.0,0.0,16.6,10.0,27.0,62.37,2.0
2020-02-28 09,15.0,0.0,18.4,10.0,27.0,54.93,2.0
2020-02-28 10,18.0,0.0,16.6,10.0,0.0,45.35,0.0
2020-02-28 11,20.0,0.0,20.6,10.0,0.0,40.09,0.0
2020-02-28 12,21.0,0.0,24.2,10.0,0.0,40.36,0.0
2020-02-28 13,21.0,0.0,31.6,10.0,0.0,43.07,0.0
2020-02-28 14,22.0,0.0,26.0,10.0,0.4,40.61,0.0
2020-02-28 15,22.0,0.0,29.6,10.0,27.2,40.71,2.0
2020-02-28 16,22.0,0.0,29.5,10.0,26.9,37.95,2.0
2020-02-28 17,21.0,0.0,27.7,10.0,27.2,40.39,2.0
2020-02-28 18,19.0,0.0,24.1,10.0,27.2,52.37,2.0
2020-02-28 19,17.0,0.0,25.7,10.0,26.9,63.41,2.0
2020-02-28 20,16.0,0.0,5.5,10.0,27.3,63.27,2.0
2020-02-28 21,15.0,0.0,13.0,10.0,27.3,72.09,2.0
2020-02-28 22,14.0,0.0,18.2,10.0,26.9,82.1,2.0
2020-02-28 23,14.0,0.0,7.6,10.0,27.3,76.87,2.0
2020-02-29 00,13.0,0.0,5.4,10.0,27.3,82.0,2.0
2020-02-29 03,12.0,0.0,5.4,10.0,0.0,87.57,0.0
2020-02-29 04,10.9,0.0,5.4,10.0,0.0,87.61,0.0
2020-02-29 05,10.0,0.0,1.8,10.0,0.6,93.47,0.0
2020-02-29 06,10.0,0.0,3.6,10.0,0.6,87.41,0.0
2020-02-29 07,9.0,0.0,5.4,10.0,0.0,93.53,0.0
2020-02-29 08,12.0,0.0,5.4,10.0,27.2,87.6,2.0
2020-02-29 09,14.0,0.0,5.4,10.0,27.0,76.93,2.0
2020-02-29 10,16.0,0.0,7.5,10.0,26.9,63.22,2.0
2020-02-29 11,18.0,0.0,7.6,10.0,27.0,55.61,2.0
2020-02-29 12,21.0,0.0,13.0,10.0,27.0,46.15,2.0
2020-02-29 13,23.0,0.0,18.3,10.0,26.9,38.2,2.0
2020-02-29 14,25.0,0.0,18.4,10.0,27.0,29.45,2.0
2020-02-29 15,25.0,0.0,16.6,10.0,27.0,31.52,2.0
2020-02-29 16,23.0,0.0,16.6,10.0,26.9,46.95,2.0
2020-02-29 17,20.0,0.0,16.6,10.0,27.0,63.52,2.0
2020-02-29 18,18.0,0.0,11.2,10.0,27.0,71.96,2.0
2020-02-29 19,17.0,0.0,11.1,10.0,27.0,77.39,2.0
2020-02-29 20,16.0,0.0,11.1,10.0,27.0,81.93,2.0
2020-02-29 21,14.0,0.0,3.6,10.0,27.0,87.48,2.0
2020-02-29 22,13.0,0.0,5.4,10.0,27.0,93.67,2.0
2020-02-29 23,11.0,0.0,0.1,10.0,27.0,92.98,2.0
2020-03-01 03,12.0,0.0,7.6,10.0,27.0,76.46,2.0
2020-03-01 04,12.0,0.0,7.5,10.0,27.0,71.39,2.0
2020-03-01 05,13.0,0.0,5.4,10.0,27.0,62.55,2.0
2020-03-01 06,11.0,0.0,0.0,10.0,27.0,71.3,2.0
2020-03-01 07,12.0,0.0,14.7,10.0,27.0,58.14,2.0
2020-03-01 08,13.0,0.0,11.1,10.0,0.0,58.38,0.0
2020-03-01 09,16.0,0.0,11.1,10.0,0.0,51.46,0.0
2020-03-01 10,20.0,0.0,5.4,10.0,0.0,32.46,0.0
2020-03-01 11,23.0,0.0,5.4,10.0,0.0,28.97,0.0
2020-03-01 12,25.0,0.0,5.5,10.0,0.0,27.48,0.0
2020-03-01 13,25.0,0.0,5.4,10.0,0.0,29.41,0.0
2020-03-01 14,25.0,0.0,11.3,10.0,0.0,29.53,0.0
2020-03-01 15,25.0,0.0,13.1,10.0,0.0,27.58,0.0
